Period,Subject,Type,Cost,randomInput,periodPaid1,periodPaid2,treatmentOrder
1,1,2,56,.340556,1,11,1
1,2,1,93,.6109713,1,11,1
1,3,2,82,.218383,1,11,1
1,4,1,17,.5158044,1,11,1
1,5,2,35,.4950527,1,11,1
1,6,1,94,.0844765,1,11,1
1,7,1,98,.4952545,1,11,1
1,8,2,11,.0045932,1,11,1
1,9,1,28,.0977523,1,11,1
1,10,2,20,.5318916,1,11,1
1,11,1,97,.8656746,1,11,1
1,12,2,35,.7784916,1,11,1
1,13,1,83,.8974724,1,11,1
1,14,1,35,.2459956,1,11,1
1,15,2,63,.8824164,1,11,1
1,16,2,81,.5898271,1,11,1
2,1,1,21,.5789934,1,11,1
2,2,2,18,.7127264,1,11,1
2,3,2,14,.7134423,1,11,1
2,4,2,47,.8821317,1,11,1
2,5,1,44,.2284459,1,11,1
2,6,1,37,.1135525,1,11,1
2,7,2,64,.8059486,1,11,1
2,8,2,84,.2296428,1,11,1
2,9,1,12,.1028815,1,11,1
2,10,1,54,.1483565,1,11,1
2,11,1,42,.104138,1,11,1
2,12,1,85,.0212026,1,11,1
2,13,2,60,.8021217,1,11,1
2,14,2,80,.9765765,1,11,1
2,15,2,33,.1812156,1,11,1
2,16,1,47,.0004837,1,11,1
3,1,2,39,.0879392,1,11,1
3,2,1,33,.5954607,1,11,1
3,3,1,85,.5469053,1,11,1
3,4,2,61,.9601304,1,11,1
3,5,2,78,.0761193,1,11,1
3,6,2,67,.8228113,1,11,1
3,7,2,68,.6368247,1,11,1
3,8,1,94,.3460908,1,11,1
3,9,1,36,.9878387,1,11,1
3,10,2,88,.5456679,1,11,1
3,11,1,34,.706196,1,11,1
3,12,2,61,.8327573,1,11,1
3,13,1,91,.8882415,1,11,1
3,14,1,56,.738736,1,11,1
3,15,2,62,.961916,1,11,1
3,16,1,99,.1880602,1,11,1
4,1,2,89,.4459098,1,11,1
4,2,2,54,.1983698,1,11,1
4,3,2,36,.2900232,1,11,1
4,4,1,97,.2056439,1,11,1
4,5,1,25,.4394616,1,11,1
4,6,1,33,.0238712,1,11,1
4,7,1,23,.9258592,1,11,1
4,8,1,72,.975732,1,11,1
4,9,2,44,.6665598,1,11,1
4,10,1,13,.3121336,1,11,1
4,11,2,68,.4246794,1,11,1
4,12,2,41,.1931905,1,11,1
4,13,2,63,.5371883,1,11,1
4,14,1,79,.1536338,1,11,1
4,15,2,51,.3768378,1,11,1
4,16,1,38,.7701411,1,11,1
5,1,2,11,.7522973,1,11,1
5,2,1,57,.907613,1,11,1
5,3,1,81,.5146487,1,11,1
5,4,1,89,.7472895,1,11,1
5,5,1,26,.2613028,1,11,1
5,6,2,69,.8769477,1,11,1
5,7,2,12,.7567638,1,11,1
5,8,2,49,.1165656,1,11,1
5,9,2,60,.7053156,1,11,1
5,10,1,26,.801622,1,11,1
5,11,1,84,.056093,1,11,1
5,12,2,49,.191039,1,11,1
5,13,2,11,.5541931,1,11,1
5,14,2,81,.8465881,1,11,1
5,15,1,95,.666998,1,11,1
5,16,1,15,.6696013,1,11,1
6,1,1,36,.9582719,1,11,1
6,2,2,55,.0242576,1,11,1
6,3,1,97,.4028527,1,11,1
6,4,1,86,.2296175,1,11,1
6,5,1,44,.2562928,1,11,1
6,6,2,49,.6081897,1,11,1
6,7,2,48,.7071295,1,11,1
6,8,1,15,.4068691,1,11,1
6,9,2,89,.3631561,1,11,1
6,10,2,39,.6448571,1,11,1
6,11,1,75,.3713441,1,11,1
6,12,2,32,.4793939,1,11,1
6,13,1,27,.0635324,1,11,1
6,14,2,24,.6213617,1,11,1
6,15,2,27,.6399713,1,11,1
6,16,1,31,.7696721,1,11,1
7,1,2,82,.4642173,1,11,1
7,2,2,22,.7448354,1,11,1
7,3,1,56,.6488542,1,11,1
7,4,2,50,.82503,1,11,1
7,5,2,92,.3221438,1,11,1
7,6,2,68,.2876638,1,11,1
7,7,1,66,.8260949,1,11,1
7,8,1,36,.2651594,1,11,1
7,9,2,86,.8085991,1,11,1
7,10,1,83,.2298395,1,11,1
7,11,1,19,.106802,1,11,1
7,12,1,44,.5327588,1,11,1
7,13,2,43,.6915566,1,11,1
7,14,1,52,.4650888,1,11,1
7,15,2,69,.0579404,1,11,1
7,16,1,57,.6006078,1,11,1
8,1,2,28,.4848526,1,11,1
8,2,2,32,.5059019,1,11,1
8,3,1,95,.0236822,1,11,1
8,4,1,75,.9201455,1,11,1
8,5,2,88,.8046896,1,11,1
8,6,2,12,.1050687,1,11,1
8,7,2,16,.9312813,1,11,1
8,8,2,60,.0682666,1,11,1
8,9,2,74,.7358642,1,11,1
8,10,1,85,.5648749,1,11,1
8,11,1,55,.6958467,1,11,1
8,12,1,91,.6093826,1,11,1
8,13,2,69,.1706956,1,11,1
8,14,1,43,.9576051,1,11,1
8,15,1,16,.461285,1,11,1
8,16,1,70,.5636615,1,11,1
9,1,1,65,.0016127,1,11,1
9,2,2,68,.5624201,1,11,1
9,3,2,45,.5331218,1,11,1
9,4,2,29,.7678974,1,11,1
9,5,2,58,.5926501,1,11,1
9,6,2,16,.4204024,1,11,1
9,7,1,31,.6257142,1,11,1
9,8,1,16,.4981264,1,11,1
9,9,1,42,.8308604,1,11,1
9,10,2,94,.9315137,1,11,1
9,11,1,98,.7057405,1,11,1
9,12,1,31,.2832841,1,11,1
9,13,2,98,.3733746,1,11,1
9,14,1,56,.402395,1,11,1
9,15,1,63,.2535595,1,11,1
9,16,2,44,.7435223,1,11,1
10,1,2,43,.2158114,1,11,1
10,2,1,96,.1999732,1,11,1
10,3,1,61,.6388806,1,11,1
10,4,1,17,.0380101,1,11,1
10,5,2,57,.1304335,1,11,1
10,6,1,42,.4081528,1,11,1
10,7,1,30,.4838324,1,11,1
10,8,1,47,.5706097,1,11,1
10,9,2,53,.1422023,1,11,1
10,10,2,26,.6567103,1,11,1
10,11,1,95,.4366594,1,11,1
10,12,2,11,.9268163,1,11,1
10,13,1,91,.1119021,1,11,1
10,14,2,53,.7490622,1,11,1
10,15,2,61,.5860606,1,11,1
10,16,2,41,.8243994,1,11,1
11,1,1,46,.8053334,1,11,1
11,2,2,22,.0691994,1,11,1
11,3,2,90,.7289528,1,11,1
11,4,2,53,.3612842,1,11,1
11,5,1,44,.597159,1,11,1
11,6,2,68,.0815251,1,11,1
11,7,1,74,.9540079,1,11,1
11,8,2,35,.1429692,1,11,1
11,9,1,66,.5089517,1,11,1
11,10,2,22,.6084824,1,11,1
11,11,1,94,.8475796,1,11,1
11,12,1,81,.4402949,1,11,1
11,13,2,52,.2475607,1,11,1
11,14,1,94,.7455854,1,11,1
11,15,2,74,.1432191,1,11,1
11,16,1,14,.347309,1,11,1
12,1,1,35,.6749942,1,11,1
12,2,2,92,.1998462,1,11,1
12,3,2,73,.0603799,1,11,1
12,4,1,38,.4957975,1,11,1
12,5,1,13,.4866136,1,11,1
12,6,1,69,.152338,1,11,1
12,7,2,39,.1587468,1,11,1
12,8,1,60,.3314477,1,11,1
12,9,1,15,.0364081,1,11,1
12,10,2,82,.1556257,1,11,1
12,11,2,60,.6915469,1,11,1
12,12,2,59,.7554859,1,11,1
12,13,2,18,.5307066,1,11,1
12,14,1,94,.6901467,1,11,1
12,15,2,98,.3267428,1,11,1
12,16,1,69,.9969068,1,11,1
13,1,2,26,.6380009,1,11,1
13,2,1,14,.9227425,1,11,1
13,3,2,84,.2141289,1,11,1
13,4,1,20,.5468503,1,11,1
13,5,2,63,.639277,1,11,1
13,6,1,65,.0771763,1,11,1
13,7,2,29,.3120656,1,11,1
13,8,1,38,.9618403,1,11,1
13,9,2,51,.8964967,1,11,1
13,10,1,25,.0186564,1,11,1
13,11,1,92,.8504874,1,11,1
13,12,2,38,.6376591,1,11,1
13,13,1,80,.0250311,1,11,1
13,14,1,72,.1725441,1,11,1
13,15,2,49,.8326904,1,11,1
13,16,2,32,.5749117,1,11,1
14,1,1,59,.3318883,1,11,1
14,2,1,94,.7671021,1,11,1
14,3,1,69,.3644736,1,11,1
14,4,2,97,.028735,1,11,1
14,5,2,99,.7690814,1,11,1
14,6,2,52,.4544684,1,11,1
14,7,1,48,.8631654,1,11,1
14,8,2,51,.8201305,1,11,1
14,9,2,59,.5181106,1,11,1
14,10,2,53,.0718146,1,11,1
14,11,1,26,.2277369,1,11,1
14,12,1,61,.1489056,1,11,1
