Period,Subject,Type,Cost,randomInput,periodPaid1,periodPaid2,treatmentOrder
1,1,1,94,.4529183,11,12,1
1,2,1,32,.7518655,11,12,1
1,3,2,60,.3509304,11,12,1
1,4,2,32,.7634848,11,12,1
1,5,2,74,.0015232,11,12,1
1,6,2,13,.5201023,11,12,1
1,7,1,99,.0952958,11,12,1
1,8,2,96,.1788592,11,12,1
1,9,1,46,.961487,11,12,1
1,10,2,87,.9161975,11,12,1
1,11,1,24,.1699673,11,12,1
1,12,2,14,.5022195,11,12,1
1,13,1,31,.1647728,11,12,1
1,14,1,18,.0317368,11,12,1
1,15,2,40,.7314464,11,12,1
1,16,1,76,.4414538,11,12,1
2,1,1,72,.5803819,11,12,1
2,2,2,52,.6836332,11,12,1
2,3,2,42,.8416101,11,12,1
2,4,1,13,.7448623,11,12,1
2,5,2,72,.020402,11,12,1
2,6,1,31,.8210594,11,12,1
2,7,1,81,.9536215,11,12,1
2,8,2,65,.5548218,11,12,1
2,9,2,90,.3292618,11,12,1
2,10,2,34,.5712701,11,12,1
2,11,2,91,.8267107,11,12,1
2,12,1,35,.5602948,11,12,1
2,13,2,61,.6912922,11,12,1
2,14,1,50,.6740665,11,12,1
2,15,1,22,.2712428,11,12,1
2,16,1,99,.1415879,11,12,1
3,1,1,65,.6769886,11,12,1
3,2,1,94,.3637393,11,12,1
3,3,2,76,.9755218,11,12,1
3,4,1,18,.5848833,11,12,1
3,5,2,16,.9266983,11,12,1
3,6,2,89,.4190497,11,12,1
3,7,2,32,.5029486,11,12,1
3,8,1,31,.0958702,11,12,1
3,9,2,70,.0714651,11,12,1
3,10,1,89,.5783556,11,12,1
3,11,2,56,.8856759,11,12,1
3,12,1,81,.8724354,11,12,1
3,13,1,54,.4104163,11,12,1
3,14,2,31,.0385286,11,12,1
3,15,1,41,.2485197,11,12,1
3,16,2,48,.9599889,11,12,1
4,1,1,61,.2878366,11,12,1
4,2,2,15,.0090645,11,12,1
4,3,2,80,.4443292,11,12,1
4,4,1,53,.4541812,11,12,1
4,5,1,34,.1022291,11,12,1
4,6,2,89,.224512,11,12,1
4,7,1,47,.8831183,11,12,1
4,8,1,76,.0935248,11,12,1
4,9,2,84,.8759403,11,12,1
4,10,1,22,.6361508,11,12,1
4,11,1,52,.4234305,11,12,1
4,12,2,59,.5756714,11,12,1
4,13,2,69,.7769771,11,12,1
4,14,1,91,.4735135,11,12,1
4,15,2,38,.1989157,11,12,1
4,16,2,35,.6875588,11,12,1
5,1,1,90,.9578641,11,12,1
5,2,1,81,.4128832,11,12,1
5,3,1,55,.259149,11,12,1
5,4,1,50,.3212776,11,12,1
5,5,2,40,.9138075,11,12,1
5,6,2,18,.6742172,11,12,1
5,7,1,12,.9899358,11,12,1
5,8,2,28,.987865,11,12,1
5,9,1,39,.3477806,11,12,1
5,10,2,57,.0835889,11,12,1
5,11,2,33,.1999933,11,12,1
5,12,1,22,.0695995,11,12,1
5,13,2,96,.3371567,11,12,1
5,14,1,72,.4807743,11,12,1
5,15,2,85,.0515454,11,12,1
5,16,2,51,.4408905,11,12,1
6,1,2,43,.6309806,11,12,1
6,2,1,56,.2066208,11,12,1
6,3,1,79,.0605405,11,12,1
6,4,1,51,.9992853,11,12,1
6,5,1,54,.3890064,11,12,1
6,6,1,60,.6013191,11,12,1
6,7,1,20,.2967531,11,12,1
6,8,1,44,.0825995,11,12,1
6,9,1,93,.5443306,11,12,1
6,10,2,12,.7551962,11,12,1
6,11,2,43,.7213255,11,12,1
6,12,2,26,.3628048,11,12,1
