Period,Subject,Type,Cost,randomInput,periodPaid1,periodPaid2,treatmentOrder
1,1,1,50,.8542328,4,15,1
1,2,1,69,.8569241,4,15,1
1,3,1,86,.3949205,4,15,1
1,4,1,89,.8625177,4,15,1
1,5,1,82,.8748812,4,15,1
1,6,1,82,.3480832,4,15,1
1,7,1,13,.5373594,4,15,1
1,8,2,41,.2713094,4,15,1
1,9,1,55,.0932993,4,15,1
1,10,2,35,.6312103,4,15,1
1,11,2,79,.3228695,4,15,1
1,12,2,57,.7584549,4,15,1
1,13,2,74,.0461444,4,15,1
1,14,2,21,.767369,4,15,1
1,15,2,90,.420335,4,15,1
1,16,2,82,.0407357,4,15,1
2,1,1,21,.2256435,4,15,1
2,2,2,74,.3940581,4,15,1
2,3,1,18,.4362146,4,15,1
2,4,2,26,.2559827,4,15,1
2,5,1,51,.490927,4,15,1
2,6,2,16,.79228,4,15,1
2,7,2,39,.4667892,4,15,1
2,8,1,82,.0518778,4,15,1
2,9,2,96,.8363192,4,15,1
2,10,2,18,.9050389,4,15,1
2,11,2,58,.7189198,4,15,1
2,12,1,18,.8858367,4,15,1
2,13,1,35,.7356222,4,15,1
2,14,1,93,.3057378,4,15,1
2,15,2,19,.8457184,4,15,1
2,16,1,53,.4166498,4,15,1
3,1,1,61,.7623732,4,15,1
3,2,1,26,.5595415,4,15,1
3,3,2,12,.2266908,4,15,1
3,4,2,13,.5623503,4,15,1
3,5,2,12,.8230472,4,15,1
3,6,2,63,.9502915,4,15,1
3,7,2,97,.4459378,4,15,1
3,8,1,47,.6230131,4,15,1
3,9,2,72,.3353893,4,15,1
3,10,1,95,.3665988,4,15,1
3,11,1,60,.0704198,4,15,1
3,12,2,79,.6081934,4,15,1
3,13,1,83,.6390867,4,15,1
3,14,2,35,.5387606,4,15,1
3,15,1,42,.4632203,4,15,1
3,16,1,97,.2146658,4,15,1
4,1,1,95,.0729994,4,15,1
4,2,1,65,.8386275,4,15,1
4,3,2,82,.3078001,4,15,1
4,4,1,46,.2434633,4,15,1
4,5,2,80,.6515175,4,15,1
4,6,2,41,.374537,4,15,1
4,7,2,62,.307704,4,15,1
4,8,2,33,.2678532,4,15,1
4,9,2,38,.1990933,4,15,1
4,10,2,11,.3580028,4,15,1
4,11,1,26,.6089728,4,15,1
4,12,1,11,.0284931,4,15,1
4,13,1,81,.0700805,4,15,1
4,14,1,47,.257537,4,15,1
4,15,1,85,.9537543,4,15,1
4,16,2,99,.8087486,4,15,1
5,1,2,97,.133194,4,15,1
5,2,1,14,.9890351,4,15,1
5,3,2,20,.2652338,4,15,1
5,4,2,15,.2645741,4,15,1
5,5,2,42,.4354849,4,15,1
5,6,1,61,.6019067,4,15,1
5,7,2,96,.2771289,4,15,1
5,8,1,69,.1713752,4,15,1
5,9,1,71,.6981897,4,15,1
5,10,2,65,.878055,4,15,1
5,11,2,47,.8489222,4,15,1
5,12,1,48,.3724965,4,15,1
5,13,2,81,.4482752,4,15,1
5,14,1,10,.2357763,4,15,1
5,15,1,78,.7755799,4,15,1
5,16,1,98,.9660684,4,15,1
6,1,1,40,.6225649,4,15,1
6,2,1,86,.8950216,4,15,1
6,3,2,94,.2886407,4,15,1
6,4,1,11,.5311895,4,15,1
6,5,2,49,.9552135,4,15,1
6,6,1,30,.6706009,4,15,1
6,7,1,55,.0650323,4,15,1
6,8,2,89,.0940863,4,15,1
6,9,2,97,.4225335,4,15,1
6,10,1,60,.0548494,4,15,1
6,11,2,15,.243214,4,15,1
6,12,1,67,.0135609,4,15,1
6,13,2,71,.0401008,4,15,1
6,14,1,66,.8787317,4,15,1
6,15,2,23,.0494061,4,15,1
6,16,2,66,.4291778,4,15,1
7,1,2,90,.9422125,4,15,1
7,2,1,75,.4059855,4,15,1
7,3,2,88,.0786556,4,15,1
7,4,1,30,.5118673,4,15,1
7,5,2,29,.4460088,4,15,1
7,6,1,41,.0210997,4,15,1
7,7,1,83,.6531225,4,15,1
7,8,1,50,.4440438,4,15,1
7,9,1,13,.3844375,4,15,1
7,10,2,48,.8575402,4,15,1
7,11,2,18,.3295801,4,15,1
7,12,2,30,.6416357,4,15,1
7,13,2,94,.0848615,4,15,1
7,14,1,87,.4726096,4,15,1
7,15,2,89,.0651622,4,15,1
7,16,1,23,.8214084,4,15,1
8,1,2,56,.7838375,4,15,1
8,2,1,86,.31203,4,15,1
8,3,2,63,.7812302,4,15,1
8,4,1,17,.5606599,4,15,1
8,5,2,39,.8252826,4,15,1
8,6,2,90,.2397619,4,15,1
8,7,1,90,.3414985,4,15,1
8,8,2,59,.0227159,4,15,1
8,9,2,24,.155928,4,15,1
8,10,2,73,.1481782,4,15,1
8,11,1,17,.9648038,4,15,1
8,12,1,62,.6601899,4,15,1
8,13,1,46,.0922181,4,15,1
8,14,2,50,.1396862,4,15,1
8,15,1,87,.5546167,4,15,1
8,16,1,40,.1103062,4,15,1
9,1,1,100,.5220122,4,15,1
9,2,1,67,.2014523,4,15,1
9,3,2,41,.6502689,4,15,1
9,4,1,29,.2958197,4,15,1
9,5,2,28,.0958682,4,15,1
9,6,1,11,.8677171,4,15,1
9,7,2,16,.0202589,4,15,1
9,8,2,53,.4845293,4,15,1
9,9,1,52,.8698044,4,15,1
9,10,1,11,.3136959,4,15,1
9,11,1,54,.6613185,4,15,1
9,12,2,49,.9775718,4,15,1
9,13,2,98,.4724755,4,15,1
9,14,2,58,.0004361,4,15,1
9,15,2,88,.9630201,4,15,1
9,16,1,43,.4987555,4,15,1
10,1,2,64,.7845975,4,15,1
10,2,1,87,.6441046,4,15,1
10,3,1,62,.7342832,4,15,1
10,4,1,65,.1623755,4,15,1
10,5,2,40,.9577938,4,15,1
10,6,1,60,.2804,4,15,1
10,7,2,29,.721198,4,15,1
10,8,1,51,.9155088,4,15,1
10,9,1,56,.1974793,4,15,1
10,10,1,58,.7848887,4,15,1
10,11,1,72,.9045646,4,15,1
10,12,2,86,.8131488,4,15,1
10,13,2,68,.4323871,4,15,1
10,14,2,14,.0513343,4,15,1
10,15,2,85,.8436717,4,15,1
10,16,2,20,.5468625,4,15,1
11,1,2,64,.7954443,4,15,1
11,2,1,10,.9288148,4,15,1
11,3,2,66,.1854826,4,15,1
11,4,2,100,.551591,4,15,1
11,5,2,27,.6806651,4,15,1
11,6,2,32,.2694834,4,15,1
11,7,1,64,.7415925,4,15,1
11,8,1,49,.7450026,4,15,1
11,9,1,22,.9714496,4,15,1
11,10,1,60,.6717145,4,15,1
11,11,1,77,.1014319,4,15,1
11,12,1,69,.4212558,4,15,1
11,13,2,97,.857905,4,15,1
11,14,1,35,.9893822,4,15,1
11,15,2,98,.6523672,4,15,1
11,16,2,34,.8828142,4,15,1
12,1,2,50,.3549696,4,15,1
12,2,2,90,.9879728,4,15,1
12,3,1,85,.2118226,4,15,1
12,4,1,62,.5002038,4,15,1
12,5,2,76,.5074627,4,15,1
12,6,2,11,.1769755,4,15,1
12,7,2,15,.8963009,4,15,1
12,8,1,82,.6460087,4,15,1
12,9,1,64,.1494396,4,15,1
12,10,2,39,.9419348,4,15,1
12,11,1,49,.5668951,4,15,1
12,12,1,64,.3652841,4,15,1
12,13,2,25,.480038,4,15,1
12,14,1,67,.4739748,4,15,1
12,15,2,85,.6766409,4,15,1
12,16,1,92,.7612222,4,15,1
13,1,1,90,.5265405,4,15,1
13,2,2,92,.6385146,4,15,1
13,3,1,29,.8796959,4,15,1
13,4,2,30,.8834238,4,15,1
13,5,1,46,.7501705,4,15,1
13,6,2,60,.3441962,4,15,1
13,7,2,32,.1890383,4,15,1
13,8,1,44,.5361585,4,15,1
13,9,1,11,.1625385,4,15,1
13,10,1,33,.1120181,4,15,1
13,11,1,39,.2513687,4,15,1
13,12,2,58,.1070859,4,15,1
13,13,1,90,.9597386,4,15,1
13,14,2,76,.8397481,4,15,1
13,15,2,15,.5054029,4,15,1
13,16,2,100,.5780268,4,15,1
14,1,2,78,.0678407,4,15,1
14,2,1,57,.3147897,4,15,1
14,3,1,12,.1378193,4,15,1
14,4,1,70,.557031,4,15,1
14,5,2,14,.3544568,4,15,1
14,6,1,44,.8562343,4,15,1
14,7,1,67,.1477448,4,15,1
14,8,2,30,.6807056,4,15,1
14,9,2,71,.1123296,4,15,1
14,10,1,91,.2753976,4,15,1
14,11,2,67,.3551428,4,15,1
14,12,2,26,.9643264,4,15,1
14,13,2,40,.3384723,4,15,1
14,14,2,79,.1407714,4,15,1
14,15,1,92,.364228,4,15,1
14,16,1,73,.3577935,4,15,1
15,1,2,60,.0202866,4,15,1
15,2,2,43,.3423306,4,15,1
15,3,1,91,.670288,4,15,1
15,4,2,38,.3365987,4,15,1
15,5,1,75,.229425,4,15,1
15,6,1,98,.45318,4,15,1
15,7,1,33,.5180702,4,15,1
15,8,1,26,.0949814,4,15,1
15,9,2,39,.1024188,4,15,1
15,10,2,39,.6738467,4,15,1
15,11,1,72,.8906678,4,15,1
15,12,2,95,.7370578,4,15,1
15,13,2,74,.0309864,4,15,1
15,14,2,52,.4805223,4,15,1
15,15,1,27,.4374596,4,15,1
15,16,1,88,.7565228,4,15,1
16,1,2,26,.9730256,4,15,1
16,2,2,19,.2765986,4,15,1
16,3,2,91,.6176149,4,15,1
16,4,1,81,.60115,4,15,1
16,5,2,50,.3934514,4,15,1
16,6,1,48,.4225634,4,15,1
16,7,1,66,.3102967,4,15,1
16,8,1,87,.4215509,4,15,1
16,9,2,74,.4843284,4,15,1
