Period,Subject,Type,Cost,randomInput,periodPaid1,periodPaid2,treatmentOrder
1,1,1,81,.2749049,7,15,1
1,2,2,73,.2007281,7,15,1
1,3,1,24,.9483399,7,15,1
1,4,2,74,.5431943,7,15,1
1,5,1,34,.5809477,7,15,1
1,6,1,91,.5141329,7,15,1
1,7,2,14,.7101692,7,15,1
1,8,2,39,.4356245,7,15,1
1,9,2,76,.2744848,7,15,1
1,10,1,94,.3921171,7,15,1
1,11,2,88,.758861,7,15,1
1,12,2,99,.4105217,7,15,1
1,13,1,46,.4234781,7,15,1
1,14,2,85,.1515373,7,15,1
1,15,1,41,.6483777,7,15,1
1,16,1,37,.8691027,7,15,1
2,1,2,26,.2580015,7,15,1
2,2,1,78,.6593252,7,15,1
2,3,2,73,.4405089,7,15,1
2,4,1,56,.1503977,7,15,1
2,5,2,68,.071716,7,15,1
2,6,2,52,.8230489,7,15,1
2,7,1,27,.7960942,7,15,1
2,8,2,87,.3504321,7,15,1
2,9,2,24,.5048754,7,15,1
2,10,1,31,.2150307,7,15,1
2,11,1,60,.3324065,7,15,1
2,12,1,22,.5069337,7,15,1
2,13,2,78,.2936772,7,15,1
2,14,1,18,.7492028,7,15,1
2,15,2,93,.6106972,7,15,1
2,16,1,98,.5248147,7,15,1
3,1,2,65,.5394842,7,15,1
3,2,1,12,.4254203,7,15,1
3,3,2,60,.608062,7,15,1
3,4,1,59,.7629834,7,15,1
3,5,2,39,.5353136,7,15,1
3,6,2,93,.4435021,7,15,1
3,7,2,62,.9169098,7,15,1
3,8,1,95,.3096765,7,15,1
3,9,2,52,.63682,7,15,1
3,10,1,89,.0157781,7,15,1
3,11,1,71,.769429,7,15,1
3,12,2,51,.694871,7,15,1
3,13,1,61,.2864395,7,15,1
3,14,2,65,.4261578,7,15,1
3,15,1,51,.5965306,7,15,1
3,16,1,20,.171885,7,15,1
4,1,1,19,.1010531,7,15,1
4,2,1,25,.6484436,7,15,1
4,3,2,54,.473402,7,15,1
4,4,2,52,.7203122,7,15,1
4,5,2,89,.8404867,7,15,1
4,6,1,28,.5392462,7,15,1
4,7,1,44,.6730648,7,15,1
4,8,2,52,.8191085,7,15,1
4,9,2,98,.6829858,7,15,1
4,10,1,48,.6197616,7,15,1
4,11,2,95,.7468486,7,15,1
4,12,2,33,.5914615,7,15,1
4,13,1,85,.2390074,7,15,1
4,14,1,17,.582042,7,15,1
4,15,2,13,.0706282,7,15,1
4,16,1,35,.1015469,7,15,1
5,1,2,12,.8450227,7,15,1
5,2,2,72,.2027481,7,15,1
5,3,2,71,.7272129,7,15,1
5,4,1,60,.1411606,7,15,1
5,5,2,94,.975181,7,15,1
5,6,1,94,.4540689,7,15,1
5,7,1,76,.5368646,7,15,1
5,8,1,35,.7383522,7,15,1
5,9,1,60,.6888285,7,15,1
5,10,1,35,.7673011,7,15,1
5,11,2,99,.4207327,7,15,1
5,12,2,36,.8258622,7,15,1
5,13,2,80,.1621745,7,15,1
5,14,1,32,.1038641,7,15,1
5,15,2,81,.3066813,7,15,1
5,16,1,56,.196834,7,15,1
6,1,2,34,.4605435,7,15,1
6,2,2,65,.7109385,7,15,1
6,3,1,96,.1268962,7,15,1
6,4,1,95,.5736181,7,15,1
6,5,2,84,.6103889,7,15,1
6,6,1,63,.7971206,7,15,1
6,7,1,53,.1899415,7,15,1
6,8,2,87,.7058641,7,15,1
6,9,1,90,.8756366,7,15,1
6,10,1,95,.5412822,7,15,1
6,11,1,53,.9884817,7,15,1
6,12,2,62,.809316,7,15,1
6,13,1,55,.0653007,7,15,1
6,14,2,100,.9563435,7,15,1
6,15,2,25,.4282015,7,15,1
6,16,2,76,.2723525,7,15,1
7,1,2,86,.8945437,7,15,1
7,2,2,15,.6807777,7,15,1
7,3,2,13,.6488512,7,15,1
7,4,1,23,.4198792,7,15,1
7,5,2,89,.5666128,7,15,1
7,6,2,93,.5460675,7,15,1
7,7,1,22,.9663523,7,15,1
7,8,2,85,.3224186,7,15,1
7,9,1,30,.5668017,7,15,1
7,10,2,79,.4836578,7,15,1
7,11,1,83,.6514303,7,15,1
7,12,2,56,.3548683,7,15,1
7,13,1,15,.023042,7,15,1
7,14,1,13,.5247387,7,15,1
7,15,1,13,.4016038,7,15,1
7,16,1,79,.3480113,7,15,1
8,1,2,78,.9594041,7,15,1
8,2,2,83,.5149383,7,15,1
8,3,1,85,.8506156,7,15,1
8,4,1,26,.5047855,7,15,1
8,5,2,68,.9793394,7,15,1
8,6,1,14,.1029608,7,15,1
8,7,2,84,.057203,7,15,1
8,8,2,83,.8842508,7,15,1
8,9,1,98,.3877894,7,15,1
8,10,2,24,.9711019,7,15,1
8,11,2,35,.525717,7,15,1
8,12,1,49,.0120659,7,15,1
8,13,1,23,.1484267,7,15,1
8,14,2,100,.4671497,7,15,1
8,15,1,82,.3269082,7,15,1
8,16,1,26,.1280366,7,15,1
9,1,1,46,.4693592,7,15,1
9,2,2,49,.1722953,7,15,1
9,3,1,98,.1001339,7,15,1
9,4,2,93,.7433827,7,15,1
9,5,2,32,.3552339,7,15,1
9,6,2,16,.2078211,7,15,1
9,7,1,84,.4967464,7,15,1
9,8,1,24,.4038589,7,15,1
9,9,2,29,.2411718,7,15,1
9,10,1,43,.8593206,7,15,1
9,11,1,20,.6493368,7,15,1
9,12,2,93,.2275608,7,15,1
9,13,2,98,.9038351,7,15,1
9,14,2,30,.6988789,7,15,1
9,15,1,71,.2581921,7,15,1
9,16,1,85,.6108381,7,15,1
10,1,2,44,.0689994,7,15,1
10,2,1,84,.6268337,7,15,1
10,3,2,74,.8375229,7,15,1
10,4,1,35,.1083647,7,15,1
10,5,2,50,.9854958,7,15,1
10,6,2,53,.0287218,7,15,1
10,7,2,56,.8428424,7,15,1
10,8,1,48,.4634036,7,15,1
10,9,1,59,.4829127,7,15,1
10,10,1,55,.2978017,7,15,1
10,11,1,91,.2137597,7,15,1
10,12,2,54,.1043429,7,15,1
10,13,1,60,.2844673,7,15,1
10,14,2,55,.8861102,7,15,1
10,15,2,90,.2354002,7,15,1
10,16,1,39,.408202,7,15,1
11,1,2,35,.1675397,7,15,1
11,2,1,33,.8400632,7,15,1
11,3,1,35,.6598166,7,15,1
11,4,2,83,.6583278,7,15,1
11,5,2,28,.3657839,7,15,1
11,6,1,96,.0683799,7,15,1
11,7,1,10,.7697656,7,15,1
11,8,1,49,.0631987,7,15,1
11,9,1,94,.5967736,7,15,1
11,10,2,94,.3477195,7,15,1
11,11,2,55,.192038,7,15,1
11,12,1,50,.0101111,7,15,1
11,13,1,21,.9846975,7,15,1
11,14,2,40,.9592977,7,15,1
11,15,2,35,.4403554,7,15,1
11,16,2,88,.318846,7,15,1
12,1,1,69,.2755582,7,15,1
12,2,2,89,.5032063,7,15,1
12,3,2,71,.0481513,7,15,1
12,4,2,84,.0793832,7,15,1
12,5,1,19,.3956135,7,15,1
12,6,1,18,.3694873,7,15,1
12,7,1,93,.5538824,7,15,1
12,8,2,35,.7060496,7,15,1
12,9,1,16,.8083375,7,15,1
12,10,1,32,.927562,7,15,1
12,11,2,38,.388054,7,15,1
12,12,2,26,.5318906,7,15,1
12,13,1,13,.0716126,7,15,1
12,14,1,42,.7861432,7,15,1
12,15,2,86,.1392924,7,15,1
12,16,2,42,.8555307,7,15,1
13,1,1,26,.6682868,7,15,1
13,2,2,17,.2151906,7,15,1
13,3,1,28,.0694098,7,15,1
13,4,1,37,.7391294,7,15,1
13,5,1,25,.6799337,7,15,1
13,6,1,61,.4392309,7,15,1
13,7,2,14,.1813546,7,15,1
13,8,1,36,.4714059,7,15,1
13,9,2,60,.5050979,7,15,1
13,10,2,59,.833941,7,15,1
13,11,2,12,.1549266,7,15,1
13,12,2,66,.2712167,7,15,1
13,13,1,37,.6472003,7,15,1
